"attribute","value"
"userCertificate","MIIGdzCCBV+gAwIBAgITVwAAAAXy0yyWL7NTAgAAAAAABTANBgkqhkiG9w0BAQsFADBUMRIwEAYKCZImiZPyLGQBGRYCZGsxHDAaBgoJkiaJk/IsZAEZFgxJVFNLUC1PREVOU0UxIDAeBgNVBAMTF0lUU0tQLU9ERU5TRS1JVERDMS1DQS0xMB4XDTIyMTIyMTA4MjA0MFoXDTIzMTIyMTA4MjA0MFowgZsxEjAQBgoJkiaJk/IsZAEZFgJkazEcMBoGCgmSJomT8ixkARkWDElUU0tQLU9ERU5TRTEQMA4GA1UECwwHT1VfTWFpbjESMBAGA1UECwwJT1VfSVQtU0tQMRIwEAYDVQQLDAlPVV9FbGV2ZXIxFzAVBgNVBAsMDk9VX1Byb2dyYW1tb2VyMRQwEgYDVQQDEwtOaW1hIEJhZGllaTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALYw/dRAD98/9bORqKlpDsJTXS3PCYcNgSN6AbiXF6HJLAKJDdQTP1kypzFROLy7W9vmh2IzVGmivbwatqw+QRebFscXG3gGeNLtWJZZCrKzs5kUQibwuz/TLuCcdhtr4ux5xgxZe5cE+UhhTCNeI5CgcccEsjd7MOXhEnwgjka8Jm9DyPdWIs5JfXesXYFnXNaO4Z1CdIOOx20gvrMuhelYZ0t09uYr+eRfRH8pW1eCc4oFRWx6mVBMz9GfEPiakRKZYLpZPuPnAV4Da5QwRzQAtT+SVHzj56cOYdhf53a+ywYH9HULTtpFzTTlGTj3J+vxayqTo7Rn+PWMK6WLsMECAwEAAaOCAvgwggL0MBUGCSsGAQQBgjcUAgQIHgYARQBGAFMwFQYDVR0lBA4wDAYKKwYBBAGCNwoDBDAOBgNVHQ8BAf8EBAMCBSAwRAYJKoZIhvcNAQkPBDcwNTAOBggqhkiG9w0DAgICAIAwDgYIKoZIhvcNAwQCAgCAMAcGBSsOAwIHMAoGCCqGSIb3DQMHMB0GA1UdDgQWBBTbKaQhsGKBrOZ04vgQZh3xAbeTrzAfBgNVHSMEGDAWgBR9PZna8HDVWk3Tdn/GC0/u2deF8TCB1wYDVR0fBIHPMIHMMIHJoIHGoIHDhoHAbGRhcDovLy9DTj1JVFNLUC1PREVOU0UtSVREQzEtQ0EtMSxDTj1JVERDMSxDTj1DRFAsQ049UHVibGljJTIwS2V5JTIwU2VydmljZXMsQ049U2VydmljZXMsQ049Q29uZmlndXJhdGlvbixEQz1JVFNLUC1PREVOU0UsREM9ZGs/Y2VydGlmaWNhdGVSZXZvY2F0aW9uTGlzdD9iYXNlP29iamVjdENsYXNzPWNSTERpc3RyaWJ1dGlvblBvaW50MIHNBggrBgEFBQcBAQSBwDCBvTCBugYIKwYBBQUHMAKGga1sZGFwOi8vL0NOPUlUU0tQLU9ERU5TRS1JVERDMS1DQS0xLENOPUFJQSxDTj1QdWJsaWMlMjBLZXklMjBTZXJ2aWNlcyxDTj1TZXJ2aWNlcyxDTj1Db25maWd1cmF0aW9uLERDPUlUU0tQLU9ERU5TRSxEQz1kaz9jQUNlcnRpZmljYXRlP2Jhc2U/b2JqZWN0Q2xhc3M9Y2VydGlmaWNhdGlvbkF1dGhvcml0eTAzBgNVHREELDAqoCgGCisGAQQBgjcUAgOgGgwYbmltYTAxMDBASVRTS1AtT0RFTlNFLmRrME8GCSsGAQQBgjcZAgRCMECgPgYKKwYBBAGCNxkCAaAwBC5TLTEtNS0yMS0yMjk4MTU2OTUyLTEzNTIzOTU5NjUtMzA0NDM3NjczNS0yNjIyMA0GCSqGSIb3DQEBCwUAA4IBAQAfcz6vzGCZqDRGqd+ipvg/t0OpOUxO3GbXkDBqSPQZIFjEIQZB+VWmtZN51u68f1IvreWkfgLaASAQHtmfa32Ots6FaXNTed3882HwRjFlQjF2b7EQNBJ5Ja0VPfvECkyUPfoC2VAbNeef+lj8JJAM5vHAj87fj5sJw01ON2ccs+5e0DFQPLhqpOxKd1mxlcXw1Gtr9CyxH4YGr3kA+TbFokMB/Vxl1saGreLwh+Jx8zDsiPvkVILNmfG+WhK63iJA8n29hrEonN6AnWYHCE5nqOYTPkQZy3mNKNT9F7m6OZYTXSwaRkXA5iPMLxbuJjKV0dCs2vHD8SUvi+kD/kNf"
"uSNChanged","38807289"
"name","Nima Badiei"
"objectGUID","{57a884ec-a9b8-4192-9e24-293795077aae}"
"userAccountControl","66048"
"badPwdCount","0"
"codePage","0"
"countryCode","0"
"homeDirectory","\\ITSKP-FILSERVER\Personlig Drev\nima0100"
"homeDrive","P"
"badPasswordTime","133856358248116414"
"lastLogoff","0"
"lastLogon","133856358295197626"
"pwdLastSet","133032230876849242"
"primaryGroupID","513"
"objectSid","S-1-5-21-2298156952-1352395965-3044376735-2622"
"memberOf","CN=Udlaan Admin,OU=OU_Zone9,OU=OU_IT-SKP,OU=OU_Main,DC=ITSKP-ODENSE,DC=dk"
"accountExpires","9223372036854775807"
"logonCount","1416"
"sAMAccountName","nima0100"
"sAMAccountType","805306368"
"objectCategory","CN=Person,CN=Schema,CN=Configuration,DC=ITSKP-ODENSE,DC=dk"
"dSCorePropagationData","20240614092644.0Z"
"dSCorePropagationData","20240614092543.0Z"
"dSCorePropagationData","20240129132950.0Z"
"dSCorePropagationData","20240129132905.0Z"
"dSCorePropagationData","16010101000000.0Z"
"lastLogonTimestamp","133866765332299246"
"msDS-SupportedEncryptionTypes","0"
"mail","nima0100@edu.sde.dk"
"memberOf","CN=SG_Programmoer,OU=OU_Programmoer,OU=OU_Elever,OU=OU_IT-SKP,OU=OU_Main,DC=ITSKP-ODENSE,DC=dk"
"objectClass","person"
"adminCount","1"
